id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
7851,Jetpac,https://www.igdb.com/g/623,8.40922843209471,Main Game,"[""May 01, 1983 (Europe [EU])"", ""1984 (Europe [EU])"", ""1983 (Europe [EU])""]","[""BBC Microcomputer System"", ""ZX Spectrum"", ""Commodore VIC-20""]","[""Platform"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Ultimate Play the Game"", ""Ashby Computers and Graphics Ltd.""]",""
12359,Knight Lore,https://www.igdb.com/g/9jb,,Main Game,"[""Nov 1984 (Europe [EU])"", ""Nov 1984 (Europe [EU])"", ""Nov 1984 (Europe [EU])"", ""Nov 1984 (Europe [EU])""]","[""BBC Microcomputer System"", ""MSX"", ""Amstrad CPC"", ""ZX Spectrum""]","[""Adventure"", ""Arcade""]","[""Action"", ""Fantasy""]","[""Ultimate Play the Game""]",""
13045,The Way of the Exploding Fist,https://www.igdb.com/g/a2d,7.86168134522747,Main Game,"[""1985 (Europe [EU])"", ""1985 (Europe [EU])"", ""1986 (Europe [EU])"", ""1985 (Europe [EU])"", ""1985 (Worldwide [WW])""]","[""BBC Microcomputer System"", ""Commodore 16"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""ZX Spectrum""]","[""Fighting"", ""Sport""]",[],"[""Melbourne House"", ""Beam Software""]",""
3502,Gauntlet,https://www.igdb.com/g/2pa,7.00930872044025,Main Game,"[""1987 (North America [NA])"", ""1986 (Europe [EU])"", ""1990 (Europe [EU])"", ""1985 (Europe [EU])"", ""1986 (Europe [EU])"", ""1989 (North America [NA])"", ""1986 (Europe [EU])"", ""1988 (North America [NA])"", ""Jan 1985 (North America [NA])"", ""1986 (Europe [EU])"", ""1988 (North America [NA])"", ""1988 (North America [NA])""]","[""Atari 8-bit"", ""MSX"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Mac"", ""ZX Spectrum"", ""DOS"", ""Apple II"", ""Apple IIGS"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Fantasy"", ""Historical""]","[""Atari Games Corporation"", ""Mindscape, Inc."", ""U.S. Gold""]",""
2051,OutRun,https://www.igdb.com/g/1kz,7.37812112617383,Main Game,"[""Aug 01, 2003 (Europe [EU])"", ""May 19, 2003 (North America [NA])"", ""1989 (North America [NA])"", ""1991 (Europe [EU])"", ""1988 (North America [NA])"", ""1987 (Europe [EU])"", ""Aug 09, 1991 (Japan [JP])"", ""Jun 30, 1987 (Japan [JP])"", ""Aug 09, 1991 (Japan [JP])"", ""1987 (North America [NA])"", ""Sep 20, 1996 (Japan [JP])"", ""1990 (Japan [JP])"", ""Sep 25, 1986 (Japan [JP])"", ""1988 (Japan [JP])"", ""1987 (Europe [EU])"", ""1989 (Europe [EU])"", ""1988 (North America [NA])""]","[""Sega Mega Drive/Genesis"", ""MSX"", ""Sega Saturn"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""Game Boy Advance"", ""ZX Spectrum"", ""DOS"", ""Sega Game Gear"", ""TurboGrafx-16/PC Engine"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Racing""]","[""Action"", ""Non-fiction""]","[""Bits Studios"", ""THQ"", ""U.S. Gold"", ""Sega AM2"", ""Mindscape, Inc."", ""NEC Avenue, Ltd."", ""Sega Enterprises""]",""
12190,Operation Wolf,https://www.igdb.com/g/9em,6.54625705739324,Main Game,"[""Mar 14, 2008 (Australia [AU])"", ""1988 (Europe [EU])"", ""1990 (Japan [JP])"", ""1988 (Europe [EU])"", ""Mar 14, 2008 (Europe [EU])"", ""Feb 04, 2008 (North America [NA])"", ""1988 (Europe [EU])"", ""1989 (North America [NA])"", ""1990 (Japan [JP])"", ""1988 (Europe [EU])"", ""Mar 31, 1989 (Japan [JP])"", ""1988 (Europe [EU])"", ""1990 (Europe [EU])"", ""Nov 01, 1987 (Japan [JP])"", ""1988 (Europe [EU])""]","[""MSX"", ""Amstrad CPC"", ""Nintendo Entertainment System"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""ZX Spectrum"", ""DOS"", ""Wii"", ""FM Towns"", ""TurboGrafx-16/PC Engine"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Shooter""]","[""Action"", ""Warfare""]","[""Taito Corporation"", ""NEC Avenue, Ltd."", ""Ocean"", ""Ving Co., Ltd.""]",""
10151,Speedball,https://www.igdb.com/g/7tz,7.50445945528121,Main Game,"[""1991 (North America [NA])"", ""Nov 01, 1988 (Europe [EU])"", ""1990 (Europe [EU])"", ""Nov 01, 1988 (Europe [EU])"", ""Nov 01, 1988 (Europe [EU])"", ""Nov 01, 1988 (Europe [EU])""]","[""Nintendo Entertainment System"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""DOS"", ""Atari ST/STE""]","[""Sport""]","[""Action"", ""Science fiction""]","[""SOFEL"", ""Image Works"", ""The Bitmap Brothers""]",""
12862,Thunder Blade,https://www.igdb.com/g/9xa,,Main Game,"[""Dec 07, 1990 (Japan [JP])"", ""Feb 03, 1990 (Japan [JP])"", ""1988 (Europe [EU])"", ""1989 (Europe [EU])"", ""Jul 30, 1988 (Japan [JP])"", ""1988 (Europe [EU])"", ""1988 (Europe [EU])"", ""1988 (Europe [EU])"", ""1987 (Japan [JP])"", ""1988 (Europe [EU])"", ""1989 (North America [NA])"", ""Aug 20, 2014 (Japan [JP])""]","[""MSX"", ""Nintendo 3DS"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""ZX Spectrum"", ""DOS"", ""TurboGrafx-16/PC Engine"", ""Sharp X68000"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Shooter""]","[""Action"", ""Warfare""]","[""U.S. Gold"", ""NEC Avenue, Ltd."", ""Sharp"", ""Sega Enterprises""]",""
12807,The Untouchables,https://www.igdb.com/g/9vr,6.26127863210163,Main Game,"[""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""1990 (Europe [EU])"", ""1989 (North America [NA])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])""]","[""MSX"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Amiga"", ""ZX Spectrum"", ""DOS"", ""Atari ST/STE""]","[""Platform"", ""Shooter""]","[""Action"", ""Thriller""]","[""Special FX Software Ltd."", ""Ocean Software""]",""
15240,Kick Off,https://www.igdb.com/g/brc,6.99721478879921,Main Game,"[""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""1991 (Europe [EU])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])""]","[""Atari 8-bit"", ""Amstrad CPC"", ""Nintendo Entertainment System"", ""Commodore C64/128/MAX"", ""Amiga"", ""ZX Spectrum"", ""Atari ST/STE""]","[""Sport""]","[""Action"", ""Non-fiction""]","[""Imagineer"", ""Anco Software Ltd.""]",""
12203,Rick Dangerous 2,https://www.igdb.com/g/9ez,7.61985658700888,Main Game,"[""1990 ()"", ""1990 ()"", ""1990 ()"", ""1990 ()"", ""1990 ()"", ""1990 ()""]","[""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Amiga"", ""ZX Spectrum"", ""DOS"", ""Atari ST/STE""]","[""Platform""]","[""Science fiction""]","[""Core Design"", ""Micro Style""]",""
15241,Kick Off 2,https://www.igdb.com/g/brd,7.01936375962847,Main Game,"[""1990 ()"", ""Dec 25, 1992 (Japan [JP])"", ""1991 (Europe [EU])"", ""1990 ()"", ""1991 (Europe [EU])"", ""1992 (Europe [EU])""]","[""Super Nintendo Entertainment System"", ""Sega Master System/Mark III"", ""Amiga"", ""Sega Game Gear"", ""Atari ST/STE""]","[""Sport""]",[],"[""Imagineer"", ""Anco"", ""Tiertex Design Studios"", ""U.S. Gold"", ""Misawa Entertainment"", ""Enigma Variations""]",""
1714,Mega Man,https://www.igdb.com/g/1bm,7.63665589879265,Main Game,"[""Jun 22, 2007 (Australia [AU])"", ""Dec 29, 1987 (North America [NA])"", ""Jun 22, 2007 (Europe [EU])"", ""Jul 18, 2012 (Japan [JP])"", ""Aug 18, 2008 (North America [NA])"", ""May 02, 2013 (North America [NA])"", ""Jan 18, 2011 (North America [NA])"", ""Feb 15, 2012 (North America [NA])"", ""Dec 17, 2011 (Japan [JP])"", ""Aug 12, 2009 (Japan [JP])"", ""Aug 12, 2009 (Japan [JP])"", ""Jan 18, 2011 (North America [NA])"", ""Dec 17, 1987 (Japan [JP])"", ""Dec 27, 2012 (North America [NA])"", ""Dec 13, 1989 (Europe [EU])"", ""Jul 29, 2008 (Japan [JP])"", ""Jun 12, 2013 (Japan [JP])"", ""May 02, 2013 (Europe [EU])"", ""Oct 18, 2012 (Europe [EU])""]","[""Nintendo 3DS"", ""Wii U"", ""Nintendo Entertainment System"", ""Wii"", ""PlayStation Vita"", ""Family Computer"", ""PlayStation 3""]","[""Adventure"", ""Platform""]","[""Action"", ""Science fiction""]","[""Capcom""]",""
45589,John Madden American Football,https://www.igdb.com/g/z6d,,Main Game,[],[],"[""Sport""]",[],[],""
3192,Sonic the Hedgehog,https://www.igdb.com/g/2go,8.23118597614358,Main Game,"[""TBD (North America [NA])"", ""Mar 02, 2011 (Worldwide [WW])"", ""May 20, 2009 (Worldwide [WW])"", ""Aug 04, 2008 (North America [NA])"", ""Jul 1991 (Europe [EU])"", ""Jul 26, 1991 (Japan [JP])"", ""Sep 19, 2008 (Europe [EU])"", ""Jun 23, 1991 (North America [NA])"", ""Oct 26, 2010 (Worldwide [WW])"", ""May 2007 ()"", ""Aug 05, 2008 (Japan [JP])""]","[""Sega Mega Drive/Genesis"", ""Xbox 360"", ""iOS"", ""Wii"", ""Arcade"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy"", ""Science fiction""]","[""Sega"", ""Sonic Team"", ""Tectoy""]",""
